"Vietnam COD","代金引換え払い"
"Location","ロケーション"
"Manage Province","地方管理"
"Manage District","地区管理"
"Manage Area","エリア管理"
"Shipping Rules","配送ルール"
"Manage Shipping Weight","積込重量管理"
"Setting","設定"
"Add Province","地方追加"
"Add District","地区追加"
"Add Area","エリア追加"
"Edit Province","地方の編集"
"Edit District","地区の編集"
"Edit Area","エリア編集"
"Province Information","地方の情報"
"District Information","地区の情報"
"Rule Information","ルール情報"
"Area Information","エリア情報"
"District","地区"
"Province","地方"
"Area","エリアインフォメーション"
"Name","氏名"
"Code","コード"
"Edit","編集"
"Save","保存"
"Delete","削除"
"Save And Continue Edit","保存＆編集の継続"
"Reset","リセット"
"Back","戻る"
"District Name","地区名"
"District Code","地区コード"
"Province Name","地方名"
"Province Code","地方コード"
"Status","ステータス"
"Change status","ステータスの更新"
"Area Name","エリア名"
"Area Code","エリアコード"
"Price for Shipping Normal","通常発送の料金"
"Shipping Express","速達配送"
"Price by Shipping Weights","積込重量での価格"
"Fixed Price for Shipping Express","速達配送の定価"
"Manage Rules","ルール管理"
"Add Rule","ルール追加"
"Rule information","ルール情報"
"Conditions","条件"
"Actions","行為"
"Rule Name","ルール名"
"Discription","説明"
"From Date",
"To Date",
"Priority","優先"
"Apply to Shipping","配送申し込み"
"Apply","申し込む"
"Discount Shipping Normal","通常配送割引"
"Discount Shipping Express","速達配送割引"
"Percent amount discount","割引（%）"
"Fixed amount discount","定額割引"
"Free Shipping","配送無料"
"Apply the rule only if the following conditions are met (leave blank for all products)","条件が満たされた場合のみルールが適用されます。(全ての商品の空欄を空けておいてください)"
"Update prices using the following information","以下の情報を使用して価格をアップデートしてください"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","カート内の商品が以下の条件を満たす場合はルールを適用してください"
"From Weight (g)","重さ〜から(g)"
"To Weight (g)","重さ〜まで(g)"
"Weight Step",
"Price Step",
"Price","料金"
"Shipping weight","出荷重量"
"Area does not exist","そのエリアは存在しません"
"Area was successfully saved","エリアが保存されました"
"Unable to find Area to save","そのエリアは不明です。選択し直してください。"
"Area was successfully deleted","エリアが削除されました"
"Please select Area(s)","エリアを選択してください"
"District does not exist","その区は存在しません"
"District was successfully saved","区が保存されました"
"Unable to find District to save","その区は不明です。選択し直してください。"
"District was successfully deleted","区が削除されました"
"Please select District(s)","区を選んでください"
"Province does not exist","その州は存在しません"
"Province was successfully saved","州が保存されました"
"Unable to find Province to save","その州は不明です。選択し直してください。"
"Province was successfully deleted","州が削除されました。"
"Please select Province(s)","州を選択してください"
"Rule does not exist","そのルールは存在しません"
"Rule was successfully saved","ルールが保存されました。"
"Unable to find Rule to save","そのルールは不明です。選択し直してください。"
"Rule was successfully deleted","ルールが削除されました。"
"Please select Rule(s)","ルールを選択してください。"
"Please select area","エリアを選んでください。"
"Please select province","州を選んでください。"
"Please select City","都市を選んでください。"
"from %s to %s days","(お届け日数)%s〜%s"
"COD Fee","代金引換手数料無料"