"Availability:","在庫状況"
"in stock","在庫あり"
"show all","全て表示する"
"all","全て"
"Quantity:","数量"
"Home","ホーム"
"Product Description","商品の詳細"
"Additional Information","追加情報"
"Product Information","商品の情報"
"See More Product Information","商品の情報をもっと見る"
"Reviews","レビュー"
"Product Tags","商品のタグ"
"Site Map","サイトマップ"
"You have no items to compare.","比較の対象がありません"
"Compare Products","比較商品"
"bestseller","ベストセラー"
"BestSeller","ベストセラー"
"comingsoon","まもなく入荷"
"new","新"
"product","商品"
"Category","カテゴリー"
"All categories","全てのカテゴリー"
"Item was successfully added to your cart","カートに商品が追加されました。"
"Browse By","カテゴリーから選ぶ"
"Sort By","並び替える"
"Learn More","もっと詳しく見る"
"Read more","もっと読む"
"Foreign language","外国語"
"Vietnamese","ベトナム語"
"Language","言語"
"person liked this comment.","このコメントにいいねした人"
"like this","いいね！"
"abuse","違反"
"Thank you for liking this comment.","いいね！していただき、ありがとうございます。"
"Thank you for your feedback.","ご投稿いただき、ありがとうございます"
"Best comment","好評コメント"
"or","または"
"Review sort","レビューの順番"
"last review","最後のレビュー"
"best like","高評価レビュー"
"Email address is invalid.","メールアドレスは無効です。"
"Please enter your email to receive notification.","通知を受け取るには、メールアドレスを入力してください"
"Confirm","確認"
"Thank you for your interest in the product.
 We will notify you when the product availability.","商品に興味をお持ちいただき、ありがとうございます。商品が入荷しましたら、通知いたします。"
"Notification when available","入荷時に通知する"
"Item was successfully added to your compare","商品を比較リストに追加しました。"
"final_price","セールスプライス"