"%d Review(s)","%dレビュー"
"Posted on %s","%sに投稿されました"
"Add New Review","レビューを書く"
"Add Your Review","自分のレビューを書く"
"How do you rate this product?","この商品についてどんな評価をされますか？"
"star","星"
"Nickname","ニックネーム"
"Summary of Your Review","レビューのタイトル"
"Reviews","レビュー　"
"Submit Review","レビューを送信する"
"Please select one of each of the ratings above","評価を一つ選択してください"
"Customer Reviews","カスタマーレビュー"
"Write Your Own Review","自分のレビューを書く"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","レビューは会員の方のみ書くことができます。 <a href=""%s"">ログイン</a> もしくは <a href=""%s"">登録</a>してください."
"Review","レビュー"
"View Details","詳細を見る"
"1 star","１つ星"
"2 stars","２つ星"
"3 stars","３つ星"
"4 stars","４つ星"
"5 stars","５つ星"
"You have submitted no reviews.","あなたのレビューはありません"
"Back","戻る"
"Review by <span class=""fhs-review-by"">%s</span>","<span class=""fhs-review-by"">%s</span>にレビューされました"
"Your Review (submitted on %s):","あなたのレビュー（%sに贈られました）"
"Your review has been accepted for moderation.","あなたのレビューは投稿される前にチェックされています。"
"My Product Reviews","自分の商品レビュー　"
"My Recent Reviews","最近の自分のレビュー"
"Rating:","評価"
"View All Reviews","全てのレビューを表示する"
"Please enter at minimum 100 character!","少なくとも100字以上入力してください。"
"My Reviews","自分のレビュー"
"Back to My Reviews","自分のレビューに戻る"