"Vietnam COD","Phí thu hộ"
"Location","Vị trí địa lý"
"Manage Province","Quản lý Tỉnh thành"
"Manage District","Quản lý Quận huyện"
"Manage Area","Quản lý Khu vực"
"Shipping Rules","Luật thu hộ"
"Manage Shipping Weight","Bảng cước phí vận chuyển theo Trọng lượng"
"Setting","Thiết lập"
"Add Province","Thêm Tỉnh thành"
"Add District","Thêm Quận huyện"
"Add Area","Thêm Khu vực"
"Edit Province","Chỉnh sửa Tỉnh thành"
"Edit District","Chỉnh sửa Quận huyện"
"Edit Area","Chỉnh sửa Khu vực"
"Province Information","Thông tin Tỉnh thành"
"District Information","Thông tin Quận huyện"
"Rule Information","Thông tin Luật"
"Area Information","Thông tin Khu vực"
"District","Quận huyện"
"Province","Tỉnh thành"
"Area","Khu vực"
"Name","Tên"
"Code","Mã"
"Edit","Chỉnh sửa"
"Save","Lưu"
"Delete","Xóa"
"Save And Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Reset","Làm mới"
"Back","Trở lại"
"District Name","Tên Quận huyện"
"District Code","Mã Quận huyện"
"Province Name","Tên Tỉnh thành"
"Province Code","Mã Tỉnh thành"
"Status","Trạng thái"
"Change status","Thay đổi trạng thái"
"Area Name","Tên Khu vực"
"Area Code","Mã Khu vực"
"Price for Shipping Normal","Phí thu hộ (%)"
"Shipping Express","Vận chuyển nhanh"
"Price by Shipping Weights","Giá tính theo khối lượng"
"Fixed Price for Shipping Express","Giá cố định"
"Manage Rules","Quản lý Luật thu hộ"
"Add Rule","Thêm Luật"
"Rule information","Thông tin Luật"
"Conditions","Điều kiện"
"Actions","Hành động"
"Rule Name","Tên Luật"
"Discription","Mô tả"
"From Date","Từ ngày"
"To Date","Tới ngày"
"Priority","Ưu tiên"
"Apply to Shipping","Áp dụng cho vận chuyển"
"Apply","Áp dụng"
"Discount Shipping Normal","Giảm giá Vận chuyển thường"
"Discount Shipping Express","Giảm giá Vận chuyển nhanh"
"Percent amount discount","Theo %"
"Free Shipping","Miễn phí vận chuyển"
"Apply the rule only if the following conditions are met (leave blank for all products)","Áp dụng luật nếu các điều kiện sau đây được đáp ứng"
"Update prices using the following information","Áp dụng Luật vào Phí thu hộ theo các thông số sau"
"From Weight (g)","Từ khối lượng (g)"
"To Weight (g)","Đến khối lượng (g)"
"Weight Step","Weight Step"
"Price Step","Price Step"
"Price","Giá"
"Shipping weight","Vận chuyển theo khối lượng"
"Area does not exist","Khu vực không tồn tại"
"Area was successfully saved","Khu vực đã được lưu thành công"
"Unable to find Area to save","Không tìm thấy khu vực để lưu"
"Area was successfully deleted","Khu vực đã được xóa thành công"
"Please select Area(s)","Vui lòng chọn khu vực"
"District does not exist","Quận, huyện không tồn tại"
"District was successfully saved","Quận, huyện đã được lưu thành công"
"Unable to find District to save","Không tìm thấy quận, huyện để lưu"
"District was successfully deleted","Quận, huyện đã được xóa thành công"
"Please select District(s)","Vui lòng chọn quận, huyện"
"Province does not exist","Tỉnh thành không tồn tại"
"Province was successfully saved","Tỉnh thành đã được lưu thành công"
"Unable to find Province to save","Không tìm thấy tỉnh thành để lưu"
"Province was successfully deleted","Tỉnh thành đã được xóa thành công"
"Please select Province(s)","Vui lòng chọn tỉnh thành"
"Rule does not exist","Luật không tồn tại"
"Rule was successfully saved","Luật đã được lưu thành công"
"Unable to find Rule to save","Không tìm thấy luật để lưu"
"Rule was successfully deleted","Luật đã được xóa thành công"
"Please select Rule(s)","Vui lòng chọn luật"
"Please select area","Vui lòng lựa chọn khu vực"
"Please select province","Vui lòng lựa chọn tỉnh thành"
"Please select City","Vui lòng chọn"
"Please select Ward","Vui lòng chọn"
"from %s to %s days","từ %s đến %s ngày làm việc"
"COD Fee", "Phí thu hộ (Miễn phí nếu thanh toán bằng thẻ, hoặc giỏ hàng trên 240K)"
"Account created from","Tài khoản được tạo từ"