"Exchanged", "Đã Đổi"
"Opening","Đang Mở"
"Opening soon","Sắp Mở"
"Tomorow","Ngày Mai"
"End in", "Kết Thúc Trong"
"Start in", "Bắt Đầu Trong"
"Opening soon for sale", "Sắp Mở Bán"
"FpointStore Error", "Chương Trình Fpoint Store Chưa Diễn Ra."
"Exchange voucher","Đổi voucher"
"Exchange","Đổi"
"Please login before change voucher","Vui lòng đăng nhập trước khi đổi voucher"
"Parameter incorrect","Sai dữ liệu"
"Not enough F-points in the account", "Không đủ F-point trong tài khoản"
"You need more %s F-point to exchange this voucher", "Bạn cần thêm %s F-point để đổi voucher này"
"Change voucher successfully", "Đổi voucher thành công"
"please change again in a few minutes","Vui lòng đổi lại sau ít phút nữa"
"Voucher not exist","Voucher không tồn tại"
"Voucher in combo isn't enough quatity", "Voucher trong combo không đủ số lượng"
"Fpoint Store","Bách hóa F-point"
"Partner", "Đối tác"
"This Voucher is over", "Voucher này đã hết"
"Over", "Đã hết"
"Close","Đóng"
"Voucher exchange failed","Đổi Voucher không thành công"
"your voucher code","Mã voucher của bạn"
"Website is busy, please change it later","Website đang bận, vui lòng đổi lại sau"
"Try again", "Thử lại"
"Fahasa received and is processing","Fahasa đã tiếp nhận và đang xử lý"
"Timeout, please try again","Đã quá thời gian chờ, xin vui lòng thử lại"
"You currently have","Bạn hiện có"
"Partner's VIP code (only applicable 1 code only once)","Mã VIP của đối tác (chỉ được áp dụng 1 mã 1 lần duy nhất)"
"Enter partner's VIP code","Nhập mã VIP của đối tác"
"Change now","Đổi ngay"
"F-Point needed to redeem this voucher combo","Số F-Point cần để đổi combo voucher này"
"F-Point needed to redeem this voucher","Số F-Point cần để đổi voucher này"
"Discount ","Giảm "
"Expiry date","Hạn sử dụng"
"Your order has been received and is processing","Đơn hàng của bạn đã được tiếp nhận và đang xử lý"
"Fahasa is processing your order, please wait a moment and try again to get result","Fahasa đang xử lí đơn hàng của bạn, vui lòng đợi trong giây lát và thử lại để nhận kết quả"
"Voucher Code","Mã Voucher"
"Not used yet","Chưa sử dụng"
"Used","Đã sử dụng"
"Apply for minimum order","Áp dụng cho đơn hàng tối thiểu"
"Expired","Đã hết hạn"
"You have successfully changed","Bạn đã đổi thành công"
"View redeemed voucher","Xem voucher đã đổi"
"Completed","Hoàn tất"
"Please read the terms carefully","Vui lòng đọc kỹ điều kiện"
"Cancel ","Hủy "
"Your partner VIP code is incorrect","Mã VIP đối tác của bạn chưa chính xác"
"Update later","Cập nhật sau"
"Out of temporary over","Tạm hết"
"Your turn to change of combo voucher was out of","Lượt đổi combo voucher của bạn đã hết"
"You have a chance to redeem <span>%s</span> in <span>%s</span> combo vouchers","Bạn có cơ hội đổi <span>%s</span> trong <span>%s</span> combo voucher"
"Complete <span>%s</span> order","Hoàn tất <span>%s</span> đơn hàng để"
"get more <span>%s</span> chance to buy combo voucher","nhận thêm <span>%s</span> cơ hội mua combo voucher"
"Expiry date for change this voucher","Hạn chót đổi voucher này"
"Expiry date for change this voucher combo","Hạn chót đổi combo voucher này"
"Out of turn","Hết lượt"
"Not exist","Không tồn tại"
"Can't change","Không thể đổi"
"Go to Home Page","Tới trang chủ"
"Home","Trang chủ"
"Please login", "Vui lòng đăng nhập"
"Not enough F-Point","Không đủ F-Point"
"Out of turn","Hết lượt đổi"
"Your turn redeem this voucher was over, please choose another voucher!","Lượt đổi voucher này của bạn đã hết, vui lòng chọn voucher khác!"