"Needed Information","Thông tin cần biết"
"Exchange Rate","Tỷ giá"
"Gold Price","Giá vàng"
"Code","Mã"
"Type","Loại"
"Buy","Mua"
"Sell","Bán"
"Weather","Thời tiết"
"Forecast","Dự báo"
"Weather information is not available!","Không có thông tin, vui lòng chọn Mã vùng khác!"
"Zip Code for Weather","Mã vùng (Zip Code) cho Thời tiết"
"Powered by","Nguồn"
"Sunny","Trời nắng"
"Rain","Trời mưa"
"Light Rain","Mưa nhẹ"
"Light Rain Shower","Mưa phùn nhẹ"
"Mostly Cloudy","Nhiều mây"
"Partly Cloudy","Ít mây"
"Cloudy","Mây giông"
"Scattered Thunderstorms","Sấm chớp"
"Scattered T-Storms","Giông rải rác"
"Fog","Sương mù"
"Haze","Mây mù"